"Status of existing checking account","Credit history","Savings account/bonds","Present employment since","Installment rate in percentage of disposable income","Personal status and sex","Other debtors / guarantors","Present residence since","Property","Age in years","Other installment plans","Housing","Number of existing credits at this bank","Job","Number of people being liable to provide maintenance for","Telephone","Foreign worker","Score","ClientID"
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (single)","guarantor",4,"unknown / no property",63,"bank","own",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",16248
"Negative","delay in paying off in the past","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",2,"car or other",29,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad",16261
"No checking account","delay in paying off in the past","unknown / no savings account","more than 7 years",3,"male (single)","none",3,"car or other",32,"bank","own",2,"skilled employee / official",2,"none","Yes","good",16274
"No checking account","delay in paying off in the past","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",26,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",16287
"No checking account","delay in paying off in the past","less than 100","4 to 7 years",3,"male (single)","none",3,"car or other",35,"none","own",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",16300
"0 - 200","existing credits paid back duly till now","100 to 500","less than 1 year",3,"male (married/widowed)","none",2,"car or other",22,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",16313
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"none","Yes","bad",16326
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",3,"car or other",28,"none","own",1,"unskilled - resident",1,"none","Yes","bad",16339
"No checking account","existing credits paid back duly till now","unknown / no savings account","Unemployed",4,"male (single)","none",4,"building society savings agreement/ life insurance",36,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",16352
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (married/widowed)","none",2,"car or other",33,"none","own",1,"skilled employee / official",1,"none","Yes","bad",16365
"Negative","no credits taken / all credits paid back duly","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",26,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",16378
"No checking account","existing credits paid back duly till now","500 to 1000","1 to 4 years",4,"male (single)","none",4,"car or other",24,"none","own",1,"skilled employee / official",1,"none","Yes","good",16391
"Over 200","existing credits paid back duly till now","less than 100","4 to 7 years",4,"male (single)","none",2,"car or other",25,"bank","own",1,"skilled employee / official",1,"none","Yes","good",16404
"0 - 200","existing credits paid back duly till now","100 to 500","4 to 7 years",3,"male (single)","none",4,"real estate",39,"none","own",1,"unskilled - resident",1,"none","Yes","good",16417
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"car or other",44,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",16430
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",1,"real estate",23,"none","own",1,"unskilled - resident",1,"none","Yes","good",16443
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (single)","none",1,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"none","Yes","good",16456
"Negative","existing credits paid back duly till now","more than 1000","more than 7 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",57,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",16469
"No checking account","delay in paying off in the past","more than 1000","4 to 7 years",3,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",30,"none","own",2,"skilled employee / official",1,"none","Yes","good",16482
"No checking account","critical account/ other credits existing (not at this bank)","500 to 1000","1 to 4 years",4,"male (single)","none",4,"real estate",44,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",16495
"0 - 200","delay in paying off in the past","less than 100","Unemployed",4,"male (single)","none",4,"building society savings agreement/ life insurance",47,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",16508
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",4,"car or other",52,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",16521
"No checking account","existing credits paid back duly till now","less than 100","more than 7 years",4,"female (divorced/separated/married)","co-Applicant",4,"unknown / no property",62,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",16534
"No checking account","existing credits paid back duly till now","100 to 500","1 to 4 years",3,"male (single)","none",2,"real estate",35,"none","rent",1,"unskilled - resident",1,"none","No","good",16547
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","guarantor",3,"building society savings agreement/ life insurance",26,"none","rent",1,"skilled employee / official",1,"none","Yes","good",16560
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",2,"male (single)","none",2,"unknown / no property",26,"none","own",2,"skilled employee / official",1,"none","Yes","good",16573
"0 - 200","no credits taken / all credits paid back duly","less than 100","more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",42,"none","for free",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",16586
"No checking account","critical account/ other credits existing (not at this bank)","100 to 500","1 to 4 years",1,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"none","Yes","good",16599
"0 - 200","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",38,"none","own",1,"skilled employee / official",1,"none","Yes","good",16612
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",3,"male (single)","none",2,"real estate",39,"none","rent",2,"unskilled - resident",2,"none","No","good",16625
"Negative","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",2,"male (married/widowed)","none",4,"car or other",20,"none","own",1,"skilled employee / official",1,"none","Yes","bad",16638
"0 - 200","existing credits paid back duly till now","100 to 500","less than 1 year",4,"male (single)","co-Applicant",1,"unknown / no property",29,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",16651
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",40,"none","own",2,"skilled employee / official",1,"none","Yes","good",16664
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (married/widowed)","guarantor",2,"real estate",32,"none","own",1,"unskilled - resident",1,"none","Yes","good",16677
"Over 200","critical account/ other credits existing (not at this bank)","100 to 500","more than 7 years",2,"male (divorced/separated)","none",4,"car or other",28,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",16690
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",27,"none","own",1,"skilled employee / official",1,"none","Yes","bad",16703
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",2,"male (single)","none",4,"unknown / no property",42,"none","for free",1,"skilled employee / official",2,"none","Yes","good",16716
"Over 200","existing credits paid back duly till now","100 to 500","more than 7 years",2,"male (divorced/separated)","none",4,"real estate",49,"none","own",1,"skilled employee / official",1,"none","Yes","good",16729
"0 - 200","critical account/ other credits existing (not at this bank)","100 to 500","less than 1 year",4,"male (single)","none",4,"unknown / no property",38,"bank","own",2,"skilled employee / official",2,"none","Yes","bad",16742
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",16755
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",4,"male (single)","guarantor",4,"building society savings agreement/ life insurance",27,"none","own",1,"unskilled - resident",1,"none","Yes","bad",16768
"Over 200","critical account/ other credits existing (not at this bank)","500 to 1000","1 to 4 years",2,"male (single)","none",2,"car or other",36,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",16781
"0 - 200","all credits at this bank paid back duly","100 to 500","Unemployed",1,"male (single)","none",2,"building society savings agreement/ life insurance",34,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","bad",16794
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (married/widowed)","none",2,"building society savings agreement/ life insurance",28,"none","own",1,"skilled employee / official",1,"none","Yes","good",16807
"No checking account","existing credits paid back duly till now","100 to 500","more than 7 years",4,"male (single)","none",2,"car or other",45,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",16820
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",4,"male (single)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"none","Yes","bad",16833
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"unknown / no property",32,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",16846
"Over 200","existing credits paid back duly till now","less than 100","4 to 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",26,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",16859
"0 - 200","delay in paying off in the past","less than 100","1 to 4 years",4,"male (married/widowed)","co-Applicant",4,"real estate",20,"none","rent",2,"skilled employee / official",1,"none","Yes","good",16872
"No checking account","existing credits paid back duly till now","unknown / no savings account","less than 1 year",4,"male (single)","none",1,"building society savings agreement/ life insurance",54,"none","own",1,"skilled employee / official",1,"none","Yes","good",16885
"Negative","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",37,"none","own",2,"skilled employee / official",1,"none","No","good",16898
"Negative","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",2,"male (single)","none",4,"real estate",40,"none","own",1,"unskilled - resident",2,"none","No","good",16911
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",16924
"Negative","existing credits paid back duly till now","100 to 500","more than 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",16937
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",36,"none","for free",2,"skilled employee / official",1,"none","Yes","good",16950
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",44,"none","for free",2,"skilled employee / official",1,"none","Yes","good",16963
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","bad",16976
"Negative","no credits taken / all credits paid back duly","less than 100","1 to 4 years",3,"male (single)","none",4,"unknown / no property",53,"none","for free",2,"skilled employee / official",2,"none","Yes","bad",16989
"No checking account","existing credits paid back duly till now","100 to 500","4 to 7 years",3,"female (divorced/separated/married)","none",4,"car or other",23,"none","own",1,"skilled employee / official",1,"none","Yes","good",17002
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","guarantor",4,"real estate",26,"none","own",1,"unskilled - resident",2,"none","Yes","good",17015
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",2,"male (single)","none",3,"car or other",30,"none","own",2,"skilled employee / official",1,"none","Yes","good",17028
"No checking account","critical account/ other credits existing (not at this bank)","100 to 500","1 to 4 years",4,"female (divorced/separated/married)","none",3,"car or other",31,"none","own",1,"skilled employee / official",1,"none","Yes","good",17041
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",2,"male (single)","none",1,"real estate",42,"none","own",2,"unskilled - resident",2,"none","Yes","good",17054
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (divorced/separated)","none",4,"car or other",31,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",17067
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",3,"male (single)","none",4,"real estate",41,"none","own",1,"unskilled - resident",2,"yes, registered under the customers name","Yes","good",17080
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",3,"male (single)","none",1,"car or other",32,"none","own",2,"skilled employee / official",2,"none","Yes","good",17093
"0 - 200","existing credits paid back duly till now","100 to 500","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",28,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",17106
"No checking account","delay in paying off in the past","less than 100","1 to 4 years",4,"male (married/widowed)","none",4,"real estate",41,"none","rent",1,"skilled employee / official",1,"none","Yes","good",17119
"No checking account","existing credits paid back duly till now","100 to 500","4 to 7 years",4,"male (married/widowed)","none",3,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",17132
"No checking account","existing credits paid back duly till now","unknown / no savings account","less than 1 year",4,"male (single)","none",2,"car or other",25,"none","own",2,"skilled employee / official",1,"none","Yes","good",17145
"Over 200","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",2,"male (divorced/separated)","none",1,"car or other",33,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",17158
"Negative","existing credits paid back duly till now","unknown / no savings account","Unemployed",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",75,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",17171
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",17184
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",42,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad",17197
"Over 200","existing credits paid back duly till now","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",45,"stores","own",1,"unskilled - resident",1,"none","Yes","good",17210
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",1,"male (married/widowed)","none",1,"real estate",23,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",17223
"No checking account","delay in paying off in the past","less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",60,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",17236
"Negative","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",31,"none","own",1,"skilled employee / official",1,"none","Yes","bad",17249
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",1,"real estate",34,"none","own",1,"unskilled - resident",2,"none","Yes","bad",17262
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"real estate",61,"none","own",2,"unskilled - resident",1,"none","Yes","good",17275
"Negative","delay in paying off in the past","less than 100","Unemployed",4,"male (single)","none",2,"real estate",43,"none","for free",2,"skilled employee / official",2,"none","Yes","bad",17288
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",17301
"No checking account","existing credits paid back duly till now","less than 100","4 to 7 years",3,"male (single)","none",1,"car or other",32,"bank","own",1,"skilled employee / official",2,"none","Yes","good",17314
"Negative","all credits at this bank paid back duly","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",4,"real estate",24,"bank","own",1,"unskilled - resident",1,"none","Yes","bad",17327
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","4 to 7 years",2,"male (single)","none",1,"unknown / no property",35,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",17340
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",4,"real estate",23,"none","own",2,"skilled employee / official",1,"none","Yes","good",17353
"No checking account","all credits at this bank paid back duly","500 to 1000","more than 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",45,"bank","own",1,"unskilled - resident",2,"none","Yes","good",17366
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",1,"male (married/widowed)","guarantor",1,"real estate",34,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",17379
"0 - 200","critical account/ other credits existing (not at this bank)","100 to 500","less than 1 year",4,"male (single)","none",1,"car or other",27,"none","own",1,"skilled employee / official",1,"none","Yes","good",17392
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",67,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",17405
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",2,"male (single)","none",1,"car or other",22,"stores","own",1,"skilled employee / official",1,"none","Yes","bad",17418
"0 - 200","no credits taken / all credits paid back duly","100 to 500","less than 1 year",3,"female (divorced/separated/married)","none",3,"car or other",28,"none","own",2,"skilled employee / official",1,"none","Yes","bad",17431
"No checking account","no credits taken / all credits paid back duly","unknown / no savings account","1 to 4 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",29,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",17444
"Negative","all credits at this bank paid back duly","less than 100","4 to 7 years",3,"male (single)","none",4,"car or other",27,"bank","own",1,"skilled employee / official",1,"none","Yes","bad",17457
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",2,"male (single)","none",2,"real estate",31,"none","own",2,"unskilled - resident",1,"none","Yes","bad",17470
"Negative","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",49,"bank","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",17483
"Negative","all credits at this bank paid back duly","less than 100","4 to 7 years",4,"male (single)","guarantor",4,"car or other",24,"bank","rent",1,"unskilled - resident",1,"none","Yes","bad",17496
"Over 200","delay in paying off in the past","less than 100","less than 1 year",2,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",29,"bank","own",1,"skilled employee / official",1,"none","Yes","good",17509
"0 - 200","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",1,"male (single)","none",4,"unknown / no property",37,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",17522
"0 - 200","delay in paying off in the past","unknown / no savings account","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",37,"bank","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",17535
"0 - 200","delay in paying off in the past","100 to 500","4 to 7 years",3,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",17548
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",2,"male (divorced/separated)","none",3,"car or other",36,"none","own",1,"skilled employee / official",1,"none","Yes","bad",17561
"No checking account","critical account/ other credits existing (not at this bank)","more than 1000","more than 7 years",2,"male (single)","none",2,"car or other",34,"none","own",1,"skilled employee / official",1,"none","Yes","good",17574
"0 - 200","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",4,"male (single)","none",1,"car or other",41,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",17587
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"car or other",31,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",17600
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"real estate",23,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad",17613
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",3,"male (single)","co-Applicant",2,"car or other",38,"none","own",1,"skilled employee / official",1,"none","Yes","good",17626
"No checking account","existing credits paid back duly till now","unknown / no savings account","Unemployed",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",26,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",17639
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",22,"none","own",1,"unskilled - resident",1,"none","Yes","good",17652
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",4,"car or other",27,"none","own",2,"unskilled - resident",1,"none","Yes","good",17665
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",2,"female (divorced/separated/married)","co-Applicant",3,"car or other",24,"bank","own",2,"skilled employee / official",1,"none","Yes","good",17678
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",2,"female (divorced/separated/married)","none",1,"real estate",27,"none","own",1,"skilled employee / official",1,"none","Yes","good",17691
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","1 to 4 years",3,"female (divorced/separated/married)","none",2,"car or other",33,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",17704
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",4,"male (divorced/separated)","none",4,"car or other",27,"none","own",2,"skilled employee / official",1,"none","Yes","bad",17717
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (married/widowed)","none",3,"car or other",27,"none","own",2,"unskilled - resident",1,"none","Yes","good",17730
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",3,"male (single)","guarantor",3,"real estate",30,"bank","own",2,"skilled employee / official",1,"none","Yes","bad",17743
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",1,"male (single)","none",3,"real estate",49,"bank","own",2,"unskilled - resident",2,"none","Yes","good",17756
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"real estate",26,"none","rent",1,"skilled employee / official",1,"none","Yes","good",17769
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (single)","none",1,"unknown / no property",33,"none","rent",1,"unskilled - resident",1,"none","Yes","bad",17782
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",52,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",17795
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",4,"real estate",20,"bank","rent",1,"skilled employee / official",1,"none","Yes","bad",17808
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",36,"none","rent",2,"skilled employee / official",2,"none","Yes","good",17821
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","guarantor",1,"building society savings agreement/ life insurance",21,"none","own",1,"unskilled - resident",1,"none","Yes","good",17834
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (married/widowed)","none",3,"real estate",47,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad",17847
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",3,"male (single)","none",3,"building society savings agreement/ life insurance",60,"none","own",2,"skilled employee / official",1,"none","Yes","bad",17860
"Negative","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",3,"real estate",58,"none","own",4,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",17873
"0 - 200","delay in paying off in the past","unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",42,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",17886
"No checking account","existing credits paid back duly till now","more than 1000","more than 7 years",4,"female (divorced/separated/married)","none",4,"real estate",36,"bank","own",1,"unskilled - resident",1,"none","Yes","good",17899
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",20,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad",17912
"Negative","all credits at this bank paid back duly","unknown / no savings account","more than 7 years",4,"male (single)","none",3,"car or other",40,"stores","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",17925
"0 - 200","all credits at this bank paid back duly","100 to 500","less than 1 year",1,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",32,"stores","own",1,"unskilled - resident",1,"none","Yes","bad",17938
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",4,"car or other",23,"none","rent",2,"skilled employee / official",1,"none","Yes","bad",17951
"0 - 200","no credits taken / all credits paid back duly","less than 100","1 to 4 years",1,"male (single)","none",4,"real estate",36,"none","own",3,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad",17964
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",31,"bank","own",2,"skilled employee / official",1,"none","Yes","bad",17977
"No checking account","delay in paying off in the past","less than 100","1 to 4 years",1,"male (single)","none",2,"unknown / no property",32,"none","for free",1,"skilled employee / official",1,"none","Yes","good",17990
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",1,"female (divorced/separated/married)","guarantor",1,"real estate",45,"none","own",1,"skilled employee / official",1,"none","Yes","good",18003
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",30,"none","own",1,"skilled employee / official",1,"none","Yes","bad",18016
"0 - 200","all credits at this bank paid back duly","less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",34,"bank","for free",1,"unskilled - resident",1,"none","Yes","bad",18029
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",28,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",18042
"Over 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"none","Yes","good",18055
"Negative","all credits at this bank paid back duly","500 to 1000","1 to 4 years",4,"male (single)","none",4,"real estate",22,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",18068
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",3,"male (single)","none",2,"real estate",74,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",18081
"0 - 200","existing credits paid back duly till now","100 to 500","1 to 4 years",4,"female (divorced/separated/married)","co-Applicant",4,"unknown / no property",50,"none","for free",1,"skilled employee / official",1,"none","Yes","bad",18094
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (single)","none",1,"real estate",33,"none","own",1,"skilled employee / official",1,"none","Yes","good",18107
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",45,"bank","for free",1,"skilled employee / official",2,"none","Yes","good",18120
"Negative","existing credits paid back duly till now","100 to 500","Unemployed",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",22,"none","own",1,"skilled employee / official",1,"none","Yes","bad",18133
"Over 200","existing credits paid back duly till now","100 to 500","more than 7 years",1,"female (divorced/separated/married)","none",4,"unknown / no property",48,"none","for free",1,"unskilled - resident",2,"none","Yes","bad",18146
